0,0
0.01,713.801
0.018,1234.392
0.028,1233.63
0.038,1211.253
0.042,1185.212
0.048,1164.542
0.053,1153.194
0.06,1147.376
0.07,1145.989
0.08,1142.214
0.09,1137.103
0.1,1131.228
0.11,1126.672
0.116,1118.144
0.124,1113.426
0.134,1105.824
0.142,1095.87
0.151,1083.624
0.158,1076.549
0.17,1062.29
0.187,1051.94
0.213,1035.019
0.252,1021.807
0.302,1003.016
0.352,989.772
0.402,970.062
0.452,963.297
0.504,953.452
0.554,945.266
0.604,932.146
0.654,911.307
0.704,905.79
0.754,897.611
0.794,892.184
0.844,884.156
0.894,872.861
0.944,860.475
0.994,847.102
1.002,746.617
1.014,667.346
1.032,529.083
1.059,441.534
1.099,331.079
1.149,161.796
1.199,78.947
1.249,67.782
1.252,55.639
1.256,37.425
1.261,24.008
1.27,21.125
1.282,18.047
1.301,13.429
1.33,6.503
1.373,3.294
1.423,0
